name,score,shift_dx,shift_dy
cx2.69_cy3.86.png,1.943446,0.0,0.0
cx11.47_cy5.31.png,1.929521,0.0,0.0
cx11.46_cy6.72.png,1.923864,0.0,0.0
cx13.16_cy3.4.png,1.906940,0.0,0.0
cx19.84_cy8.89.png,1.902701,0.0,0.0
cx18.18_cy12.78.png,1.886858,0.0,0.0
cx5.5_cy4.46.png,1.883805,0.0,0.0
cx6.74_cy7.82.png,1.882785,0.0,0.0
cx5.13_cy7.04.png,1.881825,0.0,0.0
cx5.25_cy9.45.png,1.878400,0.0,0.0
cx1.78_cy8.66.png,1.875154,0.0,0.0
cx12.6_cy4.67.png,1.869054,0.0,0.0
cx13.7_cy12.77.png,1.865551,0.0,0.0
cx15.39_cy10.26.png,1.862172,0.0,0.0
cx17.04_cy3.19.png,1.861272,0.0,0.0
cx4.14_cy12.18.png,1.859319,0.0,0.0
cx1.47_cy9.14.png,1.851010,0.0,0.0
cx6.74_cy6.68.png,1.849267,0.0,0.0
cx10.64_cy14.47.png,1.846642,0.0,-0.30000001192092896
cx2.84_cy15.8.png,1.837416,0.0,0.0
cx5.44_cy8.69.png,1.835210,0.0,0.0
cx9.68_cy3.55.png,1.834539,0.0,0.0
cx1.25_cy7.1.png,1.821706,0.0,0.0
cx8.14_cy2.15.png,1.818398,0.0,0.0
cx3.78_cy1.76.png,1.806881,0.0,0.0
cx18.11_cy1.86.png,1.803776,0.0,0.0
cx10.72_cy6.64.png,1.800844,0.30000001192092896,0.0
cx10.54_cy16.19.png,1.782619,0.0,0.0
cx6.87_cy16.03.png,1.781802,0.0,0.0
cx8.41_cy2.17.png,1.780266,0.0,0.0
cx14.73_cy13.53.png,1.772082,0.4000000059604645,0.0
cx6.31_cy8.97.png,1.769788,0.6000000238418579,0.0
cx7.04_cy4.58.png,1.766029,0.4000000059604645,0.0
cx17.84_cy1.74.png,1.765833,0.0,0.0
cx9.72_cy13.37.png,1.765131,0.0,-0.4000000059604645
cx6.31_cy7.96.png,1.763842,0.6000000238418579,0.0
cx15.08_cy3.63.png,1.760960,0.4000000059604645,0.0
cx11.95_cy1.4.png,1.757190,0.0,0.0
cx1.47_cy13.88.png,1.725586,0.5,0.0
cx18.02_cy0.76.png,1.719242,0.0,0.0
cx16.76_cy15.38.png,1.698011,0.5,0.0
cx7.49_cy0.64.png,1.695035,0.0,0.0
cx1.05_cy1.74.png,1.692544,0.0,0.0
cx0.17_cy10.72.png,1.689850,0.0,0.0
cx8.73_cy1.75.png,1.683903,0.0,0.0
cx15.03_cy0.88.png,1.667636,0.0,-0.5
cx12.79_cy0.5.png,1.664895,0.0,0.0
cx8.44_cy0.6.png,1.661270,0.0,0.0
cx4.9_cy0.03.png,1.635854,0.0,0.0
cx12.57_cy0.26.png,1.631246,0.0,0.0
cx13.33_cy17.8.png,1.533523,0.4000000059604645,0.0
cx16.4_cy18.27.png,1.507101,0.0,0.0
cx19.84_cy19.28.png,1.449440,0.0,0.0
cx0.42_cy18.22.png,1.437663,0.0,0.0
cx8.08_cy19.71.png,1.395305,0.0,0.0
